Corrida,Energia,Evaluaciones,Tiempo_s
1,-157.2109389279243,50000,0.4909219741821289
2,-154.80506029916708,50000,0.5505204200744629
3,-156.62783640177264,50000,0.4603703022003174
4,-161.74029877830742,50000,0.4505774974822998
5,-153.6528911734251,50000,0.4671485424041748
6,-156.88803716636667,50000,0.5261812210083008
7,-152.59080461803663,50000,0.46035075187683105
8,-155.42170703683027,50000,0.4544668197631836
9,-159.67039753589114,50000,0.46663689613342285
10,-155.66103800644032,50000,0.586158037185669
11,-157.44574964750905,50000,0.558114767074585
12,-158.3412389144567,50000,0.6135809421539307
13,-156.03067939097005,50000,0.6831159591674805
14,-157.85626916030037,50000,0.6129493713378906
15,-158.46035855059162,50000,0.5429134368896484
16,-157.065740022562,50000,0.5035886764526367
17,-153.19041065145805,50000,0.5266537666320801
18,-155.0741038922557,50000,0.5005531311035156
19,-158.5592539188595,50000,0.49238157272338867
20,-152.61565375912284,50000,0.5199074745178223
21,-154.56296926466825,50000,0.5132627487182617
22,-160.08058947229839,50000,0.4820520877838135
23,-159.74491659913153,50000,0.5401272773742676
24,-151.3280263834733,50000,0.5123212337493896
25,-158.4410654038277,50000,0.5186090469360352
26,-160.92623682557385,50000,0.513770580291748
27,-156.2880580687794,50000,0.5036680698394775
28,-155.04348331259663,50000,0.49616074562072754
29,-155.37156470856738,50000,0.5051767826080322
30,-156.72827943089808,50000,0.45742297172546387
