Corrida,Energia,Evaluaciones,Tiempo_s
1,-153.00030349381538,13500,0.127058744430542
2,-157.18274108622546,13500,0.1301097869873047
3,-147.67631054824648,13500,0.15016412734985352
4,-152.06854491632149,13500,0.11695981025695801
5,-151.5342358695881,13500,0.11573457717895508
6,-157.75058407472375,13500,0.13961315155029297
7,-152.3519356468885,13500,0.1479043960571289
8,-148.83450696682243,13500,0.1399824619293213
9,-155.09142932548968,13500,0.1319882869720459
10,-154.3654390651393,13500,0.1369950771331787
11,-160.33726955748952,13500,0.16947650909423828
12,-160.08412399643763,13500,0.14336895942687988
13,-151.7038417375457,13500,0.1707625389099121
14,-159.6669656210941,13500,0.15905117988586426
15,-158.8238508090797,13500,0.1846480369567871
16,-153.13128027746862,13500,0.1349637508392334
17,-158.13323805497075,13500,0.14391875267028809
18,-150.2848180721543,13500,0.12714695930480957
19,-151.9501155525398,13500,0.14116787910461426
20,-155.7998892581157,13500,0.14517784118652344
21,-149.1138619894326,13500,0.13187479972839355
22,-157.82853505276123,13500,0.1382615566253662
23,-157.69552162111796,13500,0.14020013809204102
24,-156.59581859770793,13500,0.1295166015625
25,-156.34728171370102,13500,0.14379024505615234
26,-154.13118690870851,13500,0.12037515640258789
27,-157.56165016314208,13500,0.14028429985046387
28,-153.30332650525335,13500,0.13997411727905273
29,-154.28767156855258,13500,0.1261601448059082
30,-154.9306866666882,13500,0.1294858455657959
